JTill log Thu Nov 30 16:45:24 GMT 2017
[16:45:24] [INFO] Connecting to database jdbc:derby:TillEmbedded;
[16:45:25] [INFO] Added SUPPLIER to PRODUCTS and set to -1
[16:45:25] [INFO] Removed SUPPLIER from PRODUCTS
[16:45:28] [INFO] David Grant has logged in
[16:45:31] [INFO] Retrieving backup list
[16:45:32] [INFO] Output to Zip : backups\jtillbackup_30112017.zip
[16:45:32] [INFO] File Added : db.lck
[16:45:32] [INFO] File Added : log\log.ctrl
[16:45:32] [INFO] File Added : log\log2.dat
[16:45:32] [INFO] File Added : log\logmirror.ctrl
[16:45:32] [INFO] File Added : log\README_DO_NOT_TOUCH_FILES.txt
[16:45:32] [INFO] File Added : README_DO_NOT_TOUCH_FILES.txt
[16:45:32] [INFO] File Added : seg0\c10.dat
[16:45:32] [INFO] File Added : seg0\c101.dat
[16:45:32] [INFO] File Added : seg0\c111.dat
[16:45:32] [INFO] File Added : seg0\c121.dat
[16:45:32] [INFO] File Added : seg0\c130.dat
[16:45:32] [INFO] File Added : seg0\c141.dat
[16:45:32] [INFO] File Added : seg0\c150.dat
[16:45:32] [INFO] File Added : seg0\c161.dat
[16:45:32] [INFO] File Added : seg0\c171.dat
[16:45:32] [INFO] File Added : seg0\c180.dat
[16:45:32] [INFO] File Added : seg0\c191.dat
[16:45:32] [INFO] File Added : seg0\c1a1.dat
[16:45:32] [INFO] File Added : seg0\c1b1.dat
[16:45:32] [INFO] File Added : seg0\c1c0.dat
[16:45:32] [INFO] File Added : seg0\c1d1.dat
[16:45:32] [INFO] File Added : seg0\c1e0.dat
[16:45:32] [INFO] File Added : seg0\c1f1.dat
[16:45:32] [INFO] File Added : seg0\c20.dat
[16:45:32] [INFO] File Added : seg0\c200.dat
[16:45:32] [INFO] File Added : seg0\c211.dat
[16:45:32] [INFO] File Added : seg0\c221.dat
[16:45:32] [INFO] File Added : seg0\c230.dat
[16:45:32] [INFO] File Added : seg0\c241.dat
[16:45:32] [INFO] File Added : seg0\c251.dat
[16:45:32] [INFO] File Added : seg0\c260.dat
[16:45:32] [INFO] File Added : seg0\c271.dat
[16:45:32] [INFO] File Added : seg0\c2770.dat
[16:45:32] [INFO] File Added : seg0\c2781.dat
[16:45:32] [INFO] File Added : seg0\c2791.dat
[16:45:32] [INFO] File Added : seg0\c27a1.dat
[16:45:32] [INFO] File Added : seg0\c281.dat
[16:45:32] [INFO] File Added : seg0\c290.dat
[16:45:32] [INFO] File Added : seg0\c2a1.dat
[16:45:32] [INFO] File Added : seg0\c2b1.dat
[16:45:32] [INFO] File Added : seg0\c2c1.dat
